case_id,equipment_type,equipment_id,location,complaint,symptoms,previous_action,root_cause,resolution,cost,repair_time,urgency,technician_notes,status
CASE-0236,Generator,GENERATOR-19,Library,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0237,Generator,GENERATOR-01,Engineering Block,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0238,Elevator,ELEVATOR-20,Administrative Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0239,Elevator,ELEVATOR-06,Laboratory Building,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0240,AC,AC-14,Laboratory Building,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0241,Generator,GENERATOR-09,Main Auditorium,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0242,Generator,GENERATOR-02,Computer Science Block,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0243,AC,AC-02,Engineering Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0244,Elevator,ELEVATOR-15,Laboratory Building,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0245,AC,AC-17,Library,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0246,AC,AC-05,Laboratory Building,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0247,AC,AC-14,Engineering Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0248,AC,AC-07,Laboratory Building,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0249,Water Pump,WATER-PUMP-04,Hostel Block A,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0250,Elevator,ELEVATOR-04,Hostel Block B,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
FEEDBACK-0251,AC,AC-TEST-01,Engineering Block,The AC is running but the classroom is still very warm,The AC is running but the classroom is still very warm,Technician inspection,Faulty thermostat,Replaced the thermostat,₹1200,2 hours,Medium,Added from technician feedback,Confirmed
FEEDBACK-0252,Unknown,Unknown,Unknown,the generator is not starting,the generator is not starting,Technician inspection,faulty fuel injection,replaced the faulty fuel injector,₹2800,3 hours,Medium,Added from technician feedback,Confirmed
